image_path,Pre_GSHH_NDVI,Height_Ave_cm,State,Species,dry_clover,dry_dead,dry_green,Dry_Total_g,gdm
train/ID1011485656.jpg,0.62,4.6667,Tas,Ryegrass_Clover,0.0,31.9984,16.2751,48.2735,16.275
train/ID1012260530.jpg,0.55,16.0,NSW,Lucerne,0.0,0.0,7.6,7.6,7.6
train/ID1025234388.jpg,0.38,1.0,WA,SubcloverDalkeith,6.05,0.0,0.0,6.05,6.05
train/ID1028611175.jpg,0.66,5.0,Tas,Ryegrass,0.0,30.9703,24.2376,55.2079,24.2376
train/ID1035947949.jpg,0.54,3.5,Tas,Ryegrass,0.4343,23.2239,10.5261,34.1844,10.9605
train/ID1036339023.jpg,0.82,7.0,Vic,Phalaris_Clover,23.0755,2.6135,32.191,57.88,55.2665
train/ID1049634115.jpg,0.72,2.0,Vic,Ryegrass_Clover,1.5083,3.0167,13.575,18.1,15.0833
train/ID1051144034.jpg,0.8,1.0,WA,SubcloverLosa,55.32,0.0,0.0,55.32,55.32
train/ID1052620238.jpg,0.68,5.0,Tas,Ryegrass,0.0,11.2291,20.1707,31.3998,20.1707
train/ID105271783.jpg,0.86,4.0,Vic,Phalaris_Clover,5.2698,8.5635,27.6667,41.5,32.9365
train/ID1053972079.jpg,0.56,2.5,Tas,Clover,21.0801,7.9393,1.3688,30.3882,22.4489
train/ID1058383417.jpg,0.62,2.0,Tas,Ryegrass_Clover,0.1,9.5,13.1,22.7,13.2
train/ID1062837331.jpg,0.82,9.0,Vic,Ryegrass_Clover,19.98,3.9623,35.4077,59.35,55.3877
train/ID1070112260.jpg,0.6,6.0,NSW,Fescue_CrumbWeed,0.0,9.8765,22.1235,32.0,22.1235
train/ID1078930021.jpg,0.86,5.0,Vic,Phalaris_Ryegrass_Clover,0.0,5.0189,32.9811,38.0,32.9811
train/ID1084819986.jpg,0.69,3.1667,Tas,Clover,21.4551,13.0742,2.6819,37.2112,24.137
train/ID1088965591.jpg,0.89,43.0,NSW,Lucerne,0.0,0.3443,59.5557,59.9,59.5557
train/ID1098771283.jpg,0.48,2.6667,Tas,Clover,8.376,15.1673,0.4528,23.9961,8.8287
train/ID1103883611.jpg,0.48,26.0,NSW,Phalaris,0.0,12.9166,82.7834,95.7,82.7834
train/ID1108283583.jpg,0.83,5.5,Vic,Phalaris_Ryegrass_Clover,5.773,7.2162,40.4108,53.4,46.1838
train/ID1113121340.jpg,0.8,16.0,Vic,Phalaris_Clover,0.2931,11.6271,82.6598,94.58,82.9529
train/ID1113329413.jpg,0.72,3.0,Tas,WhiteClover,20.6523,21.1112,1.3768,43.1403,22.0291
train/ID1119739385.jpg,0.28,4.0,Tas,Ryegrass,0.0,3.0,6.8,9.8,6.8
train/ID1119761112.jpg,0.42,4.0,NSW,Fescue,0.0,32.4486,22.9514,55.4,22.9514
train/ID1121692672.jpg,0.52,38.0,NSW,Phalaris,0.0,1.3958,109.8042,111.2,109.8042
train/ID1127246618.jpg,0.77,7.0,Tas,Ryegrass,3.0196,25.8824,32.3529,61.2549,35.3725
train/ID112966473.jpg,0.74,3.0,Vic,Ryegrass_Clover,11.2,2.8,19.6,33.6,30.8
train/ID1131079710.jpg,0.57,1.5,Tas,Clover,15.4794,11.119,1.5261,28.1246,17.0055
train/ID1136169672.jpg,0.62,5.0,Tas,Ryegrass,0.0,6.808,16.3107,23.1187,16.3108
train/ID1139866256.jpg,0.66,13.0,NSW,Fescue,0.0,83.8407,74.0593,157.9,74.0593
train/ID1139918758.jpg,0.79,3.0,WA,Clover,58.34,0.0,0.0,58.34,58.34
train/ID1140993511.jpg,0.71,2.0,Vic,Ryegrass_Clover,4.6,2.3,16.1,23.0,20.7
train/ID1148528732.jpg,0.86,3.2,Vic,Phalaris_Clover,12.4113,0.0,28.0887,40.5,40.5
train/ID1148666289.jpg,0.81,3.5,Vic,Phalaris_Ryegrass_Clover,4.0923,14.3231,21.4846,39.9,25.5769
train/ID1149598723.jpg,0.87,43.0,NSW,Lucerne,0.0,5.3831,58.3169,63.7,58.3169
train/ID1159071020.jpg,0.74,7.0,Vic,Phalaris_Clover,1.3191,6.7982,46.5727,54.69,47.8918
train/ID1163061745.jpg,0.5,2.0,Tas,WhiteClover,5.2,6.7,1.2,13.1,6.4
train/ID1168534540.jpg,0.86,9.0,NSW,Fescue,0.0,8.6892,55.6108,64.3,55.6108
train/ID1176292407.jpg,0.5,3.0,Tas,Ryegrass_Clover,0.1308,16.7365,9.022,25.8893,9.1528
train/ID1182523622.jpg,0.48,2.0,Tas,WhiteClover,3.1059,14.7193,0.6752,18.5004,3.7811
train/ID1183807388.jpg,0.7,5.0,Tas,Ryegrass,0.0,20.9156,20.9156,41.8312,20.9156
train/ID1193692654.jpg,0.69,3.1667,Tas,Ryegrass,0.2727,6.3317,13.4232,20.0276,13.6959
train/ID1199150612.jpg,0.62,5.5,Tas,Ryegrass_Clover,0.3602,40.7019,27.0146,68.0767,27.3748
train/ID1208644039.jpg,0.79,5.0,Vic,Phalaris_Clover,1.55,7.75,31.0,40.3,32.55
train/ID1211362607.jpg,0.58,7.0,NSW,Ryegrass,0.0,1.3446,66.5554,67.9,66.5554
train/ID121331988.jpg,0.75,8.0,NSW,Fescue,0.0,21.05,63.15,84.2,63.15
train/ID1215977190.jpg,0.74,5.0,Tas,Ryegrass,0.4068,24.8123,30.1002,55.3193,30.507
train/ID1217108125.jpg,0.62,2.0,Tas,WhiteClover,5.9027,8.0594,0.6811,14.6432,6.5838
train/ID1237349078.jpg,0.38,2.5,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,3.189,26.221,9.39,38.8,12.579
train/ID12390962.jpg,0.56,5.0,Tas,Ryegrass,0.0,15.2,14.0,29.2,14.0
train/ID1244346858.jpg,0.45,12.3333,NSW,Fescue,0.0,30.9343,49.2657,80.2,49.2657
train/ID1249094008.jpg,0.71,4.0,Vic,Ryegrass,0.0,16.3603,4.5809,20.9412,4.5809
train/ID1251029854.jpg,0.55,5.0,NSW,Fescue,0.0,22.0875,36.8125,58.9,36.8125
train/ID1254829053.jpg,0.69,4.5,Vic,Ryegrass,0.0,10.2162,4.2568,14.473,4.2568
train/ID1268934251.jpg,0.42,3.3,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.0,24.7869,17.2131,42.0,17.2131
train/ID1275072698.jpg,0.74,42.0,NSW,Lucerne,0.0,2.5,62.0,64.5,62.0
train/ID1277756619.jpg,0.4,3.0,Tas,Ryegrass,0.0,3.2,6.0,9.2,6.0
train/ID1291116815.jpg,0.76,3.0,Vic,Ryegrass_Clover,1.24,3.72,19.84,24.8,21.08
train/ID1294770420.jpg,0.59,3.3333,Tas,Ryegrass_Clover,17.3814,36.1534,14.6004,68.1352,31.9818
train/ID1314135397.jpg,0.75,6.0,NSW,Fescue_CrumbWeed,0.0,16.6678,28.0322,44.7,28.0322
train/ID13162390.jpg,0.74,3.0,Vic,Ryegrass_Clover,2.8667,2.8667,20.0667,25.8,22.9333
train/ID1337107565.jpg,0.39,1.0,WA,Clover,10.04,0.0,0.0,10.04,10.04
train/ID1343327476.jpg,0.71,5.0,Vic,Phalaris_Clover,3.1429,3.1429,37.7143,44.0,40.8571
train/ID1345375788.jpg,0.6,3.0,Tas,Ryegrass_Clover,2.3762,7.7226,8.7127,18.8115,11.0889
train/ID135365668.jpg,0.74,3.0,Vic,Phalaris_Ryegrass_Clover,2.4,1.8667,17.3333,21.6,19.7333
train/ID1354190372.jpg,0.67,3.0,Tas,Ryegrass_Clover,11.2565,6.5255,10.6039,28.3859,21.8604
train/ID1357758282.jpg,0.77,62.0,NSW,Lucerne,0.0,4.8,107.3,112.1,107.3
train/ID1357768767.jpg,0.68,15.0,NSW,Fescue,0.0,5.4497,104.1503,109.6,104.1503
train/ID1370004842.jpg,0.55,9.6667,NSW,Fescue,0.0,21.9986,55.8014,77.8,55.8014
train/ID1374789439.jpg,0.74,4.0,Vic,Phalaris_Clover,1.3556,1.3556,21.6889,24.4,23.0444
train/ID1385921939.jpg,0.79,32.0,NSW,Lucerne,0.0,6.8243,43.6757,50.5,43.6757
train/ID1386202352.jpg,0.86,5.0,Tas,Ryegrass_Clover,0.0,12.1549,35.0834,47.2383,35.0834
train/ID1395011773.jpg,0.52,3.2,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,10.0895,11.9667,13.8438,35.9,23.9333
train/ID1403078396.jpg,0.42,2.3333,Tas,Clover,5.3,8.3,1.5,15.1,6.8
train/ID1403107574.jpg,0.54,1.0,WA,Clover,22.69,0.0,0.0,22.69,22.69
train/ID1411613934.jpg,0.49,3.3,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,6.8937,17.8286,16.8777,41.6,23.7714
train/ID141370843.jpg,0.72,4.0,Vic,Ryegrass_Clover,5.6182,5.6182,19.6636,30.9,25.2818
train/ID1413758094.jpg,0.54,5.0,Tas,Ryegrass_Clover,0.8746,46.0532,17.5601,64.4879,18.4347
train/ID1414371018.jpg,0.72,3.1667,Tas,Ryegrass_Clover,14.7281,6.1901,12.3801,33.2982,27.1082
train/ID1415329644.jpg,0.83,38.0,NSW,Lucerne,0.0,0.0,63.3,63.3,63.3
train/ID1421714468.jpg,0.85,4.5,Tas,Ryegrass_Clover,0.0,36.581,26.6001,63.1811,26.6
train/ID142751858.jpg,0.81,5.0,Vic,Ryegrass_Clover,15.3953,2.417,33.2077,51.02,48.603
train/ID1428837636.jpg,0.7,3.0,Tas,WhiteClover,10.1663,19.1366,3.8871,33.1901,14.0535
train/ID1437386574.jpg,0.75,6.0,Vic,Phalaris_Clover,5.0001,3.7122,44.1677,52.88,49.1678
train/ID1444674500.jpg,0.43,1.0,WA,Clover,11.64,0.0,3.5,15.14,15.14
train/ID1450399782.jpg,0.86,5.8333,Tas,Ryegrass,0.1901,19.082,38.202,57.4741,38.3921
train/ID1451025862.jpg,0.53,2.8333,Tas,Ryegrass_Clover,5.3,4.3,6.9,16.5,12.2
train/ID1456861072.jpg,0.37,1.0,Tas,Ryegrass_Clover,0.4,6.0,1.0,7.4,1.4
train/ID1457700382.jpg,0.7,30.0,NSW,Lucerne,0.0,0.0,24.8,24.8,24.8
train/ID1458758610.jpg,0.49,9.3333,NSW,Fescue,0.0,50.2255,52.4745,102.7,52.4745
train/ID1463690813.jpg,0.84,35.0,NSW,Lucerne,0.0,0.0,58.2,58.2,58.2
train/ID146920896.jpg,0.36,2.0,Tas,Ryegrass_Clover,0.5,0.4,6.6,7.5,7.1
train/ID1471216911.jpg,0.85,16.0,Vic,Phalaris_Clover,67.8977,11.4857,28.8667,108.25,96.7643
train/ID1472525822.jpg,0.7,7.0,NSW,Fescue_CrumbWeed,0.0,16.4891,30.3109,46.8,30.3109
train/ID1473228876.jpg,0.72,8.0,NSW,Fescue_CrumbWeed,0.0,10.0135,28.0865,38.1,28.0865
train/ID1474775613.jpg,0.86,10.0,Tas,Ryegrass,0.0,5.3604,44.3447,49.7051,44.3447
train/ID147528735.jpg,0.74,52.0,NSW,Lucerne,0.0,3.0,53.5,56.5,53.5
train/ID1476045099.jpg,0.77,4.0,Vic,Ryegrass_Clover,6.7778,3.3889,20.3333,30.5,27.1111
train/ID1477176296.jpg,0.77,4.0,Vic,Ryegrass_Clover,1.8308,1.8308,20.1385,23.8,21.9692
train/ID1488408526.jpg,0.48,6.0,NSW,Fescue,0.0,9.8969,28.5031,38.4,28.5031
train/ID1496750796.jpg,0.68,2.0,Vic,Ryegrass_Clover,1.7727,5.3182,12.4091,19.5,14.1818
train/ID1498398599.jpg,0.36,2.1667,Tas,Clover,11.0375,5.6471,1.2834,17.9681,12.321
train/ID1509266870.jpg,0.77,4.0,Vic,Ryegrass_Clover,2.775,2.775,27.75,33.3,30.525
train/ID1510574031.jpg,0.51,5.1667,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,7.2336,14.4672,19.4992,41.2,26.7328
train/ID1512751450.jpg,0.77,3.8333,Tas,Ryegrass,0.3786,9.6678,19.656,29.7024,20.0346
train/ID1513184765.jpg,0.41,1.0,Tas,Ryegrass_Clover,0.0,5.0118,6.1574,11.1692,6.1574
train/ID1515990019.jpg,0.41,2.1667,Tas,Ryegrass_Clover,0.0,1.3,11.9,13.2,11.9
train/ID1516374298.jpg,0.3,1.0,WA,Clover,9.0,0.0,1.7,10.7,10.7
train/ID152157478.jpg,0.84,17.0,Vic,Ryegrass_Clover,35.1643,7.9034,64.3724,107.44,99.5366
train/ID1525817840.jpg,0.72,3.8,Vic,Phalaris_Clover,7.7677,32.3656,20.0667,60.2,27.8344
train/ID1540480250.jpg,0.58,20.0,NSW,Phalaris,0.0,3.6485,116.7515,120.4,116.7515
train/ID1545077474.jpg,0.4,3.5,Tas,Ryegrass_Clover,0.0,19.2,8.8,28.0,8.8
train/ID1547945326.jpg,0.74,2.1667,Tas,Ryegrass_Clover,6.2816,4.2493,10.7156,21.2465,16.9972
train/ID1559189397.jpg,0.56,23.0,NSW,Lucerne,0.0,1.0805,22.4195,23.5,22.4195
train/ID1563418511.jpg,0.7,34.0,NSW,Phalaris,0.0,4.5904,107.1096,111.7,107.1096
train/ID1570190541.jpg,0.55,2.3333,Tas,Clover,16.6157,7.8376,0.1568,24.61,16.7724
train/ID1573329652.jpg,0.61,6.0,NSW,Fescue_CrumbWeed,0.0,19.2015,22.2985,41.5,22.2985
train/ID1574125908.jpg,0.42,7.0,NSW,Ryegrass,0.0,3.5379,43.1621,46.7,43.1621
train/ID157479394.jpg,0.69,37.0,NSW,Phalaris,0.0,4.8579,129.3421,134.2,129.3421
train/ID1579942839.jpg,0.66,2.5,Tas,Clover,14.886,2.6661,3.3327,20.8848,18.2186
